,id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
35,35,A,182.71,material_7,material_8,9,5,19,8,3,17.886,11.279,17.647,18.048,11.491,18.681,10.905,15.34,20.354,10.478,16.305,18.725,13.322,14.712,707.166,0
37,37,A,88.0,material_7,material_8,9,5,19,7,1,18.39,13.55,19.053,17.408,11.499,20.23,12.245,17.131,21.899,13.434,14.476,14.926,16.347,18.029,927.606,0
39,39,A,144.15,material_7,material_8,9,5,16,3,1,17.172,12.303,15.873,17.606,13.055,18.206,12.042,16.342,22.389,13.931,15.705,13.341,15.226,18.369,606.519,1
45,45,A,211.2,material_7,material_8,9,5,8,9,3,17.626,11.935,17.463,16.413,12.673,20.174,11.097,16.323,20.621,11.157,15.937,17.057,15.079,16.129,807.674,1
46,46,A,164.47,material_7,material_8,9,5,11,3,5,19.877,12.02,18.826,16.775,10.967,18.668,11.874,16.149,19.59,13.101,15.133,18.654,16.409,17.779,740.611,0
47,47,A,215.05,material_7,material_8,9,5,14,7,7,17.873,13.361,19.204,15.899,11.85,19.41,11.08,15.789,15.495,11.044,15.269,14.92,15.927,13.917,839.468,0
49,49,A,150.48,material_7,material_8,9,5,13,3,2,18.057,11.393,17.064,16.497,11.744,21.543,11.946,17.513,17.948,12.866,14.786,15.201,13.501,16.626,860.434,0
50,50,A,158.69,material_7,material_8,9,5,12,2,10,17.699,13.003,17.998,17.933,11.362,19.24,11.195,16.862,20.949,14.83,17.48,15.492,16.232,19.039,790.748,0
53,53,A,157.84,material_7,material_8,9,5,11,2,4,17.981,12.07,16.252,17.582,10.906,18.218,10.922,17.087,19.037,12.986,16.549,15.746,12.546,16.901,571.376,0
54,54,A,72.96,material_7,material_8,9,5,12,3,1,18.144,11.998,16.155,17.827,11.644,20.021,12.099,16.749,18.264,11.824,15.857,15.285,14.053,13.88,729.64,0
56,56,A,141.03,material_7,material_8,9,5,6,4,3,16.673,11.794,16.51,19.619,11.651,18.242,13.125,17.157,21.126,11.224,15.377,17.848,15.367,18.183,659.105,0
62,62,A,136.34,material_7,material_8,9,5,12,4,6,17.969,10.95,18.04,17.987,11.091,19.325,13.163,17.537,17.562,12.44,16.026,15.696,14.671,16.132,763.738,0
65,65,A,104.35,material_7,material_8,9,5,8,9,5,18.192,12.263,18.474,17.286,9.978,18.295,12.783,17.128,18.363,10.714,14.357,19.056,12.554,14.37,682.616,0
66,66,A,107.14,material_7,material_8,9,5,3,8,7,19.201,11.162,17.632,17.445,11.38,19.66,12.031,16.226,20.429,13.177,16.848,18.041,13.449,16.51,760.846,0
69,69,A,197.46,material_7,material_8,9,5,13,1,9,19.446,12.972,17.408,19.551,11.97,18.505,10.25,15.944,18.628,13.395,14.995,15.386,15.576,16.995,755.809,1
70,70,A,135.57,material_7,material_8,9,5,9,1,7,18.289,10.581,17.343,17.915,12.824,19.46,12.629,16.729,22.138,11.264,14.206,19.354,16.608,16.882,768.254,0
71,71,A,198.35,material_7,material_8,9,5,7,1,3,16.313,11.81,17.934,17.616,11.897,18.579,12.268,17.89,20.311,12.393,15.177,12.767,12.667,14.717,722.617,0
76,76,A,138.25,material_7,material_8,9,5,16,2,8,18.554,11.465,19.248,15.828,9.946,17.999,11.948,14.99,18.849,12.072,13.927,18.485,11.906,13.578,655.256,0
79,79,A,152.48,material_7,material_8,9,5,11,12,4,17.458,11.969,16.151,18.566,10.35,19.746,10.616,16.522,16.994,12.912,14.103,17.982,15.197,18.354,695.779,0
80,80,A,144.88,material_7,material_8,9,5,11,1,2,16.707,11.393,16.165,17.292,10.959,19.149,12.383,16.623,18.916,13.887,15.694,15.91,13.706,16.729,622.716,0
82,82,A,103.03,material_7,material_8,9,5,6,5,8,18.732,12.863,17.289,18.993,12.52,19.336,12.214,16.722,17.412,13.935,16.3,15.989,14.773,17.327,810.747,0
83,83,A,55.29,material_7,material_8,9,5,8,0,4,17.492,13.157,19.336,16.516,11.734,19.707,10.777,16.76,18.229,14.523,14.6,15.347,13.242,15.565,880.573,0
85,85,A,119.28,material_7,material_8,9,5,15,1,1,18.875,11.419,18.822,18.445,11.581,19.228,12.595,17.159,18.116,13.804,16.243,14.974,11.346,15.177,833.558,0
87,87,A,148.04,material_7,material_8,9,5,8,2,9,18.444,11.883,18.433,18.091,12.47,19.976,10.183,17.182,16.354,9.302,15.393,16.724,17.032,17.465,888.393,0
88,88,A,98.77,material_7,material_8,9,5,8,5,3,18.648,10.577,17.9,16.94,12.392,18.347,11.292,16.142,21.241,11.72,15.201,12.082,12.94,17.404,678.734,0
91,91,A,171.21,material_7,material_8,9,5,11,4,5,17.02,11.797,16.475,17.853,10.895,20.342,11.052,16.458,19.115,12.487,15.236,14.76,14.05,16.661,752.42,0
93,93,A,132.48,material_7,material_8,9,5,15,8,5,17.284,11.451,18.255,17.137,12.382,18.399,11.309,17.282,19.334,11.978,13.829,15.159,14.007,17.324,722.006,0
94,94,A,127.43,material_7,material_8,9,5,11,4,3,19.543,10.925,16.295,16.699,11.161,19.045,12.451,15.294,19.426,9.439,16.749,14.07,14.589,15.176,605.448,0
95,95,A,176.23,material_7,material_8,9,5,3,3,5,18.95,12.985,17.003,16.989,10.987,18.407,11.024,16.921,18.462,11.869,15.342,15.995,12.613,14.991,631.304,1
96,96,A,82.58,material_7,material_8,9,5,9,6,7,17.323,10.73,18.033,16.578,13.128,18.257,9.9,15.659,20.923,14.235,17.031,15.713,9.869,18.0,690.442,0
102,102,A,124.01,material_7,material_8,9,5,8,11,7,18.932,11.849,19.955,17.94,14.486,20.419,10.843,14.535,20.12,11.086,16.465,13.945,14.8,17.067,1060.152,0
105,105,A,152.25,material_7,material_8,9,5,11,7,7,17.867,10.405,16.931,16.823,10.812,21.642,12.419,17.362,20.273,13.79,15.703,14.663,11.988,14.12,829.183,1
108,108,A,194.7,material_7,material_8,9,5,18,2,1,17.642,11.892,18.736,16.872,11.926,19.59,12.162,15.261,18.8,11.879,16.351,18.855,12.382,15.652,831.163,1
110,110,A,149.97,material_7,material_8,9,5,13,4,3,15.709,11.93,16.502,18.489,12.846,19.74,11.831,17.12,20.508,12.294,16.747,18.132,13.79,17.468,776.166,0
112,112,A,122.87,material_7,material_8,9,5,4,4,11,17.996,12.919,17.186,18.705,14.178,19.598,11.137,15.705,19.248,9.894,13.039,17.526,13.13,15.121,860.117,0
113,113,A,116.84,material_7,material_8,9,5,17,6,1,18.852,11.388,18.336,17.018,10.59,18.876,10.153,16.756,19.321,11.373,15.692,14.869,13.722,17.752,714.298,0
114,114,A,121.98,material_7,material_8,9,5,8,6,4,18.262,9.964,17.049,17.017,11.067,21.084,11.885,16.253,19.666,11.355,16.606,15.041,15.817,19.556,798.952,1
117,117,A,113.19,material_7,material_8,9,5,15,4,2,17.984,11.043,18.234,15.955,11.774,19.568,10.368,17.718,20.884,11.729,15.328,20.148,10.079,14.862,757.154,1
118,118,A,71.96,material_7,material_8,9,5,17,5,5,16.07,12.977,17.538,17.622,11.798,19.026,12.233,16.024,21.033,12.256,15.658,14.072,15.33,18.361,748.615,1
119,119,A,88.92,material_7,material_8,9,5,9,6,7,20.096,11.506,18.493,17.715,11.135,19.088,12.684,14.607,18.406,8.807,14.915,13.7,13.617,16.555,774.13,0
124,124,A,108.6,material_7,material_8,9,5,7,2,3,18.296,11.131,16.87,18.203,12.781,19.562,9.925,15.21,17.623,11.618,15.232,14.889,15.861,16.723,762.348,0
126,126,A,131.01,material_7,material_8,9,5,7,6,10,17.074,12.494,16.996,16.971,10.06,20.019,11.998,14.834,18.02,13.461,16.894,12.021,11.303,14.659,724.423,1
127,127,A,128.18,material_7,material_8,9,5,21,3,4,18.4,10.903,16.44,15.338,11.688,18.218,10.687,15.65,17.001,7.864,16.187,17.475,17.759,16.301,526.522,0
128,128,A,80.0,material_7,material_8,9,5,8,5,4,18.359,11.325,17.408,17.191,10.004,17.802,10.011,16.572,18.022,11.443,15.766,17.858,13.592,15.391,565.069,0
129,129,A,127.37,material_7,material_8,9,5,14,2,3,19.55,10.877,17.544,16.937,12.104,21.682,11.591,15.456,17.924,13.142,13.147,15.003,12.859,16.548,912.12,0
130,130,A,88.29,material_7,material_8,9,5,14,2,0,19.753,10.841,16.173,17.254,11.836,18.276,10.869,15.105,19.179,12.614,15.51,15.946,13.387,14.712,568.145,1
131,131,A,100.77,material_7,material_8,9,5,1,0,10,18.319,12.172,16.346,16.9,12.644,18.206,11.931,15.241,19.369,11.478,14.53,18.027,13.229,15.91,603.832,0
134,134,A,95.08,material_7,material_8,9,5,4,2,6,17.598,11.618,17.683,16.557,12.054,20.091,11.142,15.983,18.736,13.695,17.059,13.954,14.114,17.36,797.104,0
136,136,A,128.62,material_7,material_8,9,5,12,1,2,19.51,10.059,17.616,16.39,9.805,19.765,9.838,17.201,16.155,13.117,16.771,15.989,13.845,18.535,683.991,0
137,137,A,166.0,material_7,material_8,9,5,12,2,7,16.767,11.1,15.71,17.84,11.044,18.186,12.28,15.828,18.39,11.681,13.014,13.958,13.189,18.1,533.722,0
139,139,A,89.69,material_7,material_8,9,5,16,1,10,17.38,13.002,16.051,17.986,11.809,18.911,11.602,15.438,20.088,12.189,15.171,16.688,13.786,14.13,661.925,0
140,140,A,173.75,material_7,material_8,9,5,13,4,13,17.632,10.982,17.746,18.496,10.693,20.438,12.512,14.813,19.22,14.176,16.303,15.458,13.484,15.428,836.247,0
142,142,A,174.31,material_7,material_8,9,5,8,9,6,17.696,10.857,17.572,18.386,10.86,18.989,11.848,18.6,20.787,14.692,15.541,14.761,12.127,15.618,713.05,0
143,143,A,167.06,material_7,material_8,9,5,12,1,3,18.687,11.318,16.393,18.151,11.939,18.14,10.208,16.977,19.127,10.614,16.116,16.428,13.834,14.046,604.858,1
147,147,A,136.25,material_7,material_8,9,5,23,3,2,17.957,11.201,16.622,17.017,9.791,16.603,11.253,15.068,20.779,10.744,14.918,17.305,13.855,15.367,413.653,0
148,148,A,200.05,material_7,material_8,9,5,8,4,6,18.29,11.36,16.739,18.331,11.837,18.626,12.265,16.711,16.906,10.576,13.649,14.874,15.924,14.983,666.461,0
149,149,A,123.83,material_7,material_8,9,5,5,1,3,17.998,10.455,17.248,14.425,11.623,18.247,13.04,16.865,16.989,15.019,16.061,12.63,12.701,17.054,543.325,0
150,150,A,99.82,material_7,material_8,9,5,9,4,3,17.655,11.481,16.987,18.453,10.886,19.616,11.784,15.714,21.679,14.372,15.634,14.024,11.78,15.801,738.434,1
152,152,A,90.41,material_7,material_8,9,5,12,3,6,20.056,10.906,17.257,17.099,10.483,19.93,11.892,16.916,20.362,10.612,15.004,15.986,16.825,19.571,722.375,0
153,153,A,121.85,material_7,material_8,9,5,8,0,4,18.671,11.389,15.377,17.392,12.37,19.474,13.623,16.189,20.279,13.168,15.285,17.909,15.856,16.433,639.144,0
154,154,A,121.29,material_7,material_8,9,5,12,3,2,19.086,12.787,16.743,15.151,11.072,18.343,11.101,15.62,17.07,13.694,14.092,14.362,13.322,16.613,560.618,0
164,164,A,91.43,material_7,material_8,9,5,8,3,9,16.016,11.48,16.324,15.762,12.312,20.96,12.478,17.328,17.552,12.632,16.111,16.559,14.094,17.889,766.298,0
178,178,A,108.01,material_7,material_8,9,5,13,4,5,17.384,12.606,17.242,17.304,9.466,19.09,11.334,13.879,19.414,14.991,15.25,19.496,16.427,18.218,663.477,0
179,179,A,101.18,material_7,material_8,9,5,7,10,8,16.395,11.082,16.799,16.936,11.602,17.315,9.299,18.578,19.88,11.293,16.113,14.656,15.655,17.412,521.749,1
180,180,A,98.84,material_7,material_8,9,5,7,2,7,19.833,11.445,16.4,18.686,10.705,18.98,11.73,16.281,14.267,10.271,16.485,16.446,17.378,15.536,655.172,1
184,184,A,109.78,material_7,material_8,9,5,8,1,6,17.912,11.744,17.201,15.71,12.761,18.405,11.197,16.589,20.831,12.676,16.475,16.536,15.032,15.04,635.718,1
186,186,A,208.5,material_7,material_8,9,5,6,2,8,17.749,12.82,16.876,17.219,10.592,20.434,11.226,16.777,23.093,15.719,16.333,14.356,18.036,20.117,775.19,1
188,188,A,144.88,material_7,material_8,9,5,8,7,8,16.754,10.186,17.015,18.499,10.194,18.161,10.685,16.49,21.033,12.767,15.437,18.027,15.649,15.915,591.829,0
191,191,A,149.94,material_7,material_8,9,5,10,1,3,16.741,11.343,18.732,16.888,11.285,18.864,10.608,15.867,19.386,13.205,14.14,16.277,14.024,16.337,750.113,1
192,192,A,112.65,material_7,material_8,9,5,9,2,3,16.746,11.454,18.193,16.567,12.483,18.35,11.425,17.025,19.818,13.876,15.596,17.12,12.433,13.117,701.45,0
193,193,A,79.38,material_7,material_8,9,5,5,2,8,17.546,11.152,17.554,17.338,11.092,18.635,8.856,17.948,17.741,13.861,14.635,15.506,14.957,15.926,666.867,0
196,196,A,92.11,material_7,material_8,9,5,9,9,11,18.129,10.699,15.568,18.267,11.518,19.301,13.251,16.453,17.376,12.67,16.164,17.327,11.218,15.242,628.397,0
198,198,A,131.93,material_7,material_8,9,5,8,4,3,16.663,13.517,17.872,16.425,9.998,17.852,12.295,16.268,16.846,11.287,16.421,15.261,15.316,15.287,608.154,0
202,202,A,122.71,material_7,material_8,9,5,6,2,11,16.986,12.069,18.357,17.029,9.774,18.047,11.937,15.16,21.921,11.497,13.421,13.783,14.679,19.306,640.362,0
206,206,A,113.42,material_7,material_8,9,5,12,3,2,19.431,12.49,16.38,18.717,12.666,19.091,13.973,14.699,19.778,12.904,18.129,16.747,14.716,16.934,727.169,0
207,207,A,143.92,material_7,material_8,9,5,11,2,5,18.158,11.824,15.641,18.558,11.407,19.214,11.565,16.56,20.485,12.963,14.912,17.487,15.36,15.047,648.05,1
208,208,A,133.92,material_7,material_8,9,5,11,1,7,18.298,12.219,16.1,16.571,11.877,18.205,12.124,17.197,21.109,12.041,15.367,19.481,14.184,18.596,562.167,0
210,210,A,114.99,material_7,material_8,9,5,6,9,7,17.576,12.933,15.978,18.618,12.998,17.886,12.96,14.407,18.847,12.726,15.062,15.19,15.482,17.523,623.131,0
211,211,A,106.15,material_7,material_8,9,5,8,8,11,16.776,12.521,15.268,16.91,10.656,18.771,12.143,15.462,19.449,12.895,16.716,14.856,12.982,13.568,537.914,1
212,212,A,109.88,material_7,material_8,9,5,16,6,9,18.825,12.259,18.222,17.077,12.008,18.118,12.393,15.738,20.117,13.102,15.805,17.827,14.612,16.7,699.081,0
215,215,A,109.25,material_7,material_8,9,5,6,6,2,17.367,11.394,16.411,18.032,11.087,18.8,10.476,16.117,20.293,11.813,15.511,16.611,18.235,17.545,633.474,0
218,218,A,115.34,material_7,material_8,9,5,9,2,7,16.951,12.854,18.755,18.273,10.734,19.269,12.034,15.755,19.145,14.655,15.35,17.379,12.231,20.87,828.988,0
219,219,A,247.95,material_7,material_8,9,5,12,3,6,17.574,10.228,18.121,18.181,11.347,19.546,11.79,15.977,19.327,14.006,15.024,15.415,13.054,15.897,785.239,0
225,225,A,216.47,material_7,material_8,9,5,9,4,9,16.795,12.803,17.814,18.561,11.779,20.324,11.203,16.372,19.501,10.843,15.881,17.423,15.174,15.706,888.199,0
226,226,A,112.72,material_7,material_8,9,5,10,4,5,16.7,11.779,17.31,18.495,12.106,17.603,11.465,15.888,18.201,12.064,15.876,14.753,13.837,18.086,638.426,0
228,228,A,147.26,material_7,material_8,9,5,11,3,3,17.537,11.516,18.144,17.137,14.191,20.181,10.802,17.183,18.037,13.12,14.987,17.954,13.723,17.521,900.428,0
229,229,A,94.32,material_7,material_8,9,5,6,8,4,17.435,12.839,17.567,17.321,11.785,18.925,10.702,15.424,21.75,10.944,15.367,17.835,13.592,15.568,731.875,1
238,238,A,104.06,material_7,material_8,9,5,11,5,1,17.361,10.264,16.991,17.926,10.618,19.698,11.47,15.966,18.678,12.165,15.744,14.878,14.409,18.323,705.679,1
240,240,A,118.58,material_7,material_8,9,5,9,8,5,17.212,11.021,16.634,15.754,10.563,18.672,10.317,17.303,16.18,12.242,17.165,15.958,15.307,16.706,556.549,0
242,242,A,137.51,material_7,material_8,9,5,18,2,7,16.069,13.106,17.354,18.041,9.298,17.927,12.531,16.254,21.77,14.717,16.637,16.333,16.447,19.464,603.882,0
247,247,A,98.42,material_7,material_8,9,5,15,7,3,20.486,13.623,17.768,17.036,12.609,17.422,11.188,15.763,20.814,12.902,16.987,18.187,14.678,15.678,653.004,0
249,249,A,134.09,material_7,material_8,9,5,8,6,10,16.539,12.226,15.988,18.071,10.448,20.301,11.655,15.217,20.033,13.572,16.264,17.226,13.98,16.706,722.19,0
250,250,A,108.06,material_7,material_8,9,5,4,2,7,18.347,13.057,18.188,17.548,11.201,17.685,12.354,16.47,19.47,13.666,15.935,15.085,13.389,16.191,667.417,0
254,254,A,91.77,material_7,material_8,9,5,13,1,3,18.211,12.026,18.217,16.462,10.619,20.337,11.835,17.654,20.194,10.463,15.691,18.037,13.91,14.864,815.936,1
255,255,A,161.28,material_7,material_8,9,5,11,2,5,18.102,12.111,16.925,15.735,11.222,20.672,9.819,16.503,20.929,12.151,16.212,17.646,15.247,18.912,760.454,0
256,256,A,122.24,material_7,material_8,9,5,14,4,4,17.162,11.022,15.795,18.06,10.465,18.828,11.523,15.086,20.691,11.839,16.094,13.581,14.289,16.564,578.133,0
257,257,A,120.74,material_7,material_8,9,5,14,4,7,17.536,11.943,18.967,18.722,12.383,18.531,12.573,15.401,18.624,12.144,16.078,18.379,13.016,15.098,824.306,1
261,261,A,92.1,material_7,material_8,9,5,6,3,4,19.021,10.861,16.379,16.268,12.073,18.379,11.61,15.899,20.041,13.491,16.225,17.125,16.52,16.057,568.726,0
264,264,A,101.78,material_7,material_8,9,5,3,7,9,19.326,11.227,17.027,17.666,12.42,19.296,9.987,16.297,22.166,12.142,16.752,11.345,12.409,15.909,729.157,1
267,267,A,150.66,material_7,material_8,9,5,14,3,2,17.435,11.81,17.773,17.774,11.671,18.369,11.976,15.266,20.697,14.1,15.357,13.824,13.377,15.559,695.086,0
274,274,A,122.83,material_7,material_8,9,5,21,5,7,17.369,12.345,15.368,16.529,9.769,18.491,11.217,14.432,20.147,11.299,15.321,13.12,14.145,15.362,487.972,0
276,276,A,138.65,material_7,material_8,9,5,5,8,12,17.533,12.506,17.959,16.908,10.772,20.032,12.498,16.219,17.144,13.748,15.558,15.603,15.181,16.721,799.795,0
278,278,A,87.19,material_7,material_8,9,5,5,0,5,19.191,10.979,16.398,19.121,11.301,19.231,11.326,15.416,21.583,12.349,15.204,14.932,14.361,16.847,694.062,0
279,279,A,85.81,material_7,material_8,9,5,10,2,6,17.472,13.61,17.578,15.972,9.678,18.376,11.074,12.847,18.899,11.035,16.375,17.631,13.536,15.531,612.178,0
280,280,A,104.88,material_7,material_8,9,5,4,4,7,17.969,11.304,16.866,16.769,12.597,17.168,13.592,16.704,17.557,12.568,14.221,16.964,14.725,18.266,537.684,1
281,281,A,156.99,material_7,material_8,9,5,4,5,6,17.731,12.562,18.272,16.447,11.286,18.528,11.495,16.8,21.425,12.306,15.9,16.74,18.727,16.858,702.772,0
283,283,A,60.19,material_7,material_8,9,5,14,4,1,18.128,10.558,18.325,18.224,10.664,19.811,12.383,15.357,18.115,12.45,15.673,15.517,14.44,15.922,808.408,0
284,284,A,153.93,material_7,material_8,9,5,17,4,7,16.207,10.079,18.944,19.847,11.972,17.266,11.937,14.331,19.014,13.497,15.426,17.267,13.0,15.305,717.452,1
286,286,A,91.75,material_7,material_8,9,5,7,6,4,18.483,10.864,17.802,18.832,11.86,21.013,11.244,17.82,17.38,11.448,15.751,15.154,14.98,15.337,920.59,0
288,288,A,165.67,material_7,material_8,9,5,8,1,2,16.915,11.882,18.047,16.05,12.253,19.618,11.761,18.066,21.28,11.909,16.669,15.957,13.812,16.802,777.795,0
290,290,A,75.57,material_7,material_8,9,5,8,7,8,18.885,11.22,16.528,17.9,11.426,19.421,10.757,16.82,19.012,9.78,16.055,15.8,16.593,15.885,690.747,0
291,291,A,121.42,material_7,material_8,9,5,7,10,12,17.175,12.622,16.505,17.806,11.938,17.941,12.762,15.683,19.803,10.288,15.786,15.265,15.994,17.69,606.976,0
293,293,A,157.44,material_7,material_8,9,5,9,1,2,17.381,11.594,16.774,17.268,10.645,18.133,12.72,16.375,19.336,13.204,16.881,16.975,14.309,18.149,574.172,0
294,294,A,122.06,material_7,material_8,9,5,3,2,5,18.046,10.453,17.096,14.547,10.364,19.2,12.836,16.743,21.321,12.716,15.417,17.223,12.009,16.688,580.583,0
301,301,A,107.94,material_7,material_8,9,5,5,8,7,17.295,12.214,15.623,16.481,12.413,17.772,11.025,16.45,18.549,8.495,14.546,17.642,17.95,17.943,510.736,0
303,303,A,68.97,material_7,material_8,9,5,13,5,4,19.522,12.178,15.152,18.684,12.999,19.08,10.679,15.794,19.833,10.498,15.557,18.551,13.077,15.549,657.081,0
305,305,A,116.36,material_7,material_8,9,5,7,5,6,17.872,10.383,17.975,16.166,12.29,17.232,11.795,17.595,18.016,13.697,16.727,17.205,13.768,17.943,571.18,0
307,307,A,90.74,material_7,material_8,9,5,9,4,4,18.448,13.013,17.69,17.547,9.136,18.658,12.022,17.979,19.292,10.316,14.99,15.251,16.282,14.873,660.491,1
308,308,A,123.6,material_7,material_8,9,5,8,0,2,15.718,12.613,18.751,16.554,11.791,17.693,11.235,16.233,20.414,12.993,15.894,18.801,15.372,16.246,684.053,0
310,310,A,110.86,material_7,material_8,9,5,14,5,5,18.243,9.028,17.518,16.864,13.516,19.258,12.247,15.056,22.18,11.069,13.88,12.59,13.397,16.97,728.737,1
311,311,A,103.69,material_7,material_8,9,5,8,6,2,18.302,11.379,18.288,18.228,10.978,18.903,12.194,14.861,20.602,10.165,15.799,17.373,14.843,15.137,755.202,0
312,312,A,96.06,material_7,material_8,9,5,12,3,1,16.847,10.513,17.66,16.26,9.522,19.021,13.115,17.543,18.671,9.808,15.683,17.382,16.231,15.133,624.566,0
315,315,A,127.61,material_7,material_8,9,5,5,9,4,19.736,12.836,17.482,17.481,11.625,17.505,10.907,15.322,17.924,13.292,13.004,14.201,13.406,17.29,617.304,0
317,317,A,134.06,material_7,material_8,9,5,1,13,8,17.338,12.682,16.97,18.316,11.432,18.238,11.672,16.644,18.376,12.597,16.585,15.798,15.128,18.822,659.831,1
318,318,A,134.34,material_7,material_8,9,5,6,7,5,18.14,12.641,17.076,16.645,10.885,18.502,12.104,15.516,21.644,11.951,14.824,18.341,15.324,16.524,625.649,0
320,320,A,167.4,material_7,material_8,9,5,12,6,2,17.568,12.536,16.154,17.157,11.867,18.887,10.399,15.727,16.543,16.326,14.897,13.381,13.319,15.181,637.9,0
321,321,A,75.62,material_7,material_8,9,5,13,3,5,18.133,11.593,17.271,18.574,12.102,18.939,12.885,16.749,19.445,12.22,15.326,13.789,14.464,16.963,738.351,0
322,322,A,147.26,material_7,material_8,9,5,6,1,5,18.371,13.402,16.542,17.339,10.395,19.4,10.774,15.163,20.905,12.363,16.47,17.227,13.831,15.66,681.628,0
324,324,A,153.22,material_7,material_8,9,5,5,4,10,19.302,13.281,18.456,17.173,11.432,19.567,11.719,15.323,21.77,11.514,15.126,14.756,15.925,18.693,828.176,1
328,328,A,119.5,material_7,material_8,9,5,10,2,10,18.45,14.131,16.449,18.947,11.025,17.675,11.347,16.56,19.375,12.698,15.081,14.519,14.392,16.154,612.28,0
330,330,A,189.54,material_7,material_8,9,5,12,7,4,18.072,11.135,14.818,19.43,11.419,18.263,11.975,16.651,18.974,9.883,16.172,15.9,16.546,17.085,537.699,0
336,336,A,95.36,material_7,material_8,9,5,19,6,12,18.864,11.136,16.27,16.598,12.583,19.11,9.509,15.42,19.424,12.394,16.891,16.125,12.87,17.192,644.199,1
340,340,A,183.1,material_7,material_8,9,5,9,5,9,17.461,13.543,19.548,17.909,12.594,19.494,11.711,15.793,20.858,11.757,15.994,14.294,14.582,16.569,941.582,1
342,342,A,193.41,material_7,material_8,9,5,8,3,9,16.517,11.253,17.847,16.574,11.403,17.808,13.643,16.642,16.221,13.002,16.181,18.468,16.038,19.108,608.982,1
345,345,A,129.14,material_7,material_8,9,5,6,7,14,17.731,10.829,17.101,15.602,10.017,20.527,11.985,16.285,17.625,12.42,14.125,15.224,15.137,17.064,707.835,0
346,346,A,185.96,material_7,material_8,9,5,15,4,3,17.782,12.323,17.168,18.727,14.33,20.353,12.1,15.241,19.384,11.009,15.667,16.085,14.779,15.434,912.477,0
